,ma_fast,ma_slow,atr,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
1,20,30,1,portf.1,AUDUSD,210,105,-21400.4576686683,-203.813882558747,-939.959735156003,12781.16814,-2120.60135000002,65960.7466899999,-87361.2043586683,2239.30687838305,15.2380952380952,84.7619047619048,0.755034768284476,4122.54666812499,3505.53599999998,-981.586565827734,-962.525364372014,-203.813882558747,-939.959735156003,2239.30687838305,-1.44484220237561,-41475.8171886506,-0.515974346480732,4.1998808985824,3.64201934801699,20075.3595199823,-21400.4576686683,-21400.4576686683
2,20,30,1,portf.1,EURGBP,224,112,40477.8635957232,361.409496390382,-979.13843214502,34380.3724,-1808.554848354,144584.08458,-104106.220984277,4641.06873983699,16.0714285714286,83.9285714285714,1.38881311042724,8032.44914333333,5613.79577499995,-1107.51298919444,-1070.33539267161,361.409496390382,-979.13843214502,4641.06873983699,1.23618033152377,-35370.9494361699,1.14438159678946,7.25269068778672,5.24489408968123,58301.6549662841,-1942.79293700185,40477.8635957232
3,20,30,1,portf.1,EURJPY,230,115,76211.3162419804,662.707097756351,-932.504062800002,24401.96,-1821.31335599993,171509.109,-95297.7927580197,4714.81110311631,24.3478260869565,75.6521739130435,1.79971753842711,6125.32532142858,3028.72500000004,-1095.3769282531,-999.523055999995,662.707097756351,-932.504062800002,4714.81110311631,2.23129809580084,-40637.7267838299,1.87538335122391,5.59197949439852,3.03017022150618,78811.4906496604,-9300.85868040001,76211.3162419804
4,20,30,1,portf.1,EURUSD,250,125,123320.876566814,986.567012534513,-1655.96001316921,82676.9689200001,-2623.3477003773,313091.6799,-189770.803333186,9128.81535023702,18.4,81.6,1.64984114732494,13612.6817347826,9018.69144000002,-1860.49807189398,-1745.47248234134,986.567012534513,-1655.96001316921,9128.81535023702,1.71558577979025,-58886.890824581,2.09419914755181,7.31668682726715,5.16690554061473,182207.767391395,-982.293774336023,123320.876566814
5,20,30,1,portf.1,GBPJPY,221,110,213091.86562224,1928.46718747491,-1635.21729380001,107668.44,-4089.50499999997,386331.118,-174199.72737776,14649.9451143958,13.6363636363636,86.3636363636364,2.21774812059391,25755.4078666667,13468.247,-1833.68134081853,-1714.72847508005,1928.46718747491,-1635.21729380001,14649.9451143958,2.08966431604977,-56730.3155775102,3.75622563444221,14.0457380970948,7.85444879217467,227802.35290602,-15390.3537023999,213091.86562224
6,20,30,1,portf.1,GBPUSD,253,126,60415.0275128728,441.727154864074,-2432.25389459564,60722.8703999999,-5660.76613999999,333489.65856,-277832.037047127,9608.69683455258,13.4920634920635,86.5079365079365,1.20032830664317,19617.0387388235,14531.5021,-2548.91777107456,-2603.61730574394,441.727154864074,-2432.25389459564,9608.69683455258,0.729776505120972,-113898.301239458,0.53042957494034,7.69622267200621,5.58127420183507,151271.597678842,-6829.99762208777,60415.0275128728
7,20,30,1,portf.1,NZDUSD,283,141,19745.3828589663,19.3794940352207,-3363.35359001811,91849.3576,-6925.60611999997,407445.13061,-404712.621951034,11552.6621081822,17.0212765957447,82.9787234042553,1.00675172581916,16976.8804420833,9351.22243499998,-3459.08223889772,-3728.15023560004,19.3794940352207,-3363.35359001811,11552.6621081822,0.0266293541374186,-237815.77377805,0.0830280622066489,4.9079146633684,2.50827403512479,232662.304642089,-17782.8986849777,19745.3828589663
8,20,30,1,portf.1,USDCAD,237,118,210148.823006029,1780.92222886464,-4460.90189410177,152431.01822,-9745.59600000013,624739.22041,-414590.397403972,19434.8287237405,16.1016949152542,83.8983050847458,1.50688299662006,32881.0116005263,26108.88272,-4187.78179195931,-4577.87785299121,1780.92222886464,-4460.90189410177,19434.8287237405,1.45467008397155,-146939.025625041,1.43017705549706,7.85165350870454,5.70327203093466,274877.573091922,-18415.4761314982,210148.823006029
9,20,30,1,portf.1,USDCHF,231,115,147260.614726223,1248.0834650976,-4701.00245331984,126306.61445,-6192.8123428458,567935.84822,-424406.249733776,19136.2753970852,14.7826086956522,85.2173913043478,1.33818917270011,33407.9910717647,19915.59612,-4330.67601769159,-4855.30020012331,1248.0834650976,-4701.00245331984,19136.2753970852,1.03534833051252,-171329.490033544,0.85951703175788,7.71426699556537,4.10182590141269,314859.088519768,-52761.0160365832,147260.614726223
10,20,30,1,portf.1,USDHKD,212,106,-164773.675558334,-1554.46863734289,-4884.30426159706,101503.347800001,-12426.3587999982,279734.941559999,-444508.617118345,12111.7723544025,17.9245283018868,82.0754716981132,0.629312752975321,14722.8916610526,9675.17654999067,-5109.29444963615,-5045.86261140084,-1554.46863734289,-4884.30426159706,12111.7723544025,-2.03739171192255,-288907.550762441,-0.570333572533802,2.88158997415016,1.91744748026436,124133.875204107,-164773.675558334,-164773.675558334
11,20,30,1,portf.1,USDJPY,251,125,410253.964644588,3194.17177315671,-4860.57578930001,549609.297,-12346.125,889993.976,-490722.504355412,50345.2690733889,16,84,1.81364002690085,44499.6988,16865.685,-4673.54766052773,-5018.74860772994,3194.17177315671,-4860.57578930001,50345.2690733889,1.00716325233369,-259899.15228763,1.57851213069968,9.52161014122945,3.36053592603209,478942.435512428,-139066.78513463,410253.964644588
12,20,40,1,portf.2,AUDUSD,146,73,-8372.99089033889,-114.698505347109,-895.623906628001,10520.4491,-1481.78655000002,50260.10422,-58633.0951103389,2475.25334146182,13.6986301369863,86.3013698630137,0.857196846344505,5026.010422,4417.709265,-930.68404937046,-918.98289715683,-114.698505347109,-895.623906628001,2475.25334146182,-0.735594330849494,-25370.579356772,-0.330027579291521,5.40034013197038,4.80717244974592,11024.7426922014,-19909.367356772,-8372.99089033889
13,20,40,1,portf.2,EURGBP,172,86,-29073.0420081411,-338.058628001641,-647.926709522967,10746.33287,-1668.51377,26157.62129,-55230.6632981412,1753.11333303266,4.65116279069767,95.3488372093023,0.473606864882254,6539.4053225,6762.43458000001,-673.544674367575,-652.859524319984,-338.058628001641,-647.926709522967,1753.11333303266,-3.06113372615156,-37991.5724413812,-0.765249768300565,9.7089407300862,10.3581771086877,2964.81058044406,-35026.7618609372,-29073.0420081411
